_id,tên sản phẩm,ảnh sản phẩm,loại áo,form,thiết kế,màu sắc,size,chất liệu,giá tiền
652d7b308eb746ea4a0c5b6c,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-rainnyday.jpg,Áo Khoác Chần,Regular ,Trơn,RAINNY DAY,M,Polyester,785.000đ
652d7b308eb746ea4a0c5b6d,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-rainnyday.jpg,Áo Khoác Chần,Regular ,Trơn,RAINNY DAY,L,Polyester,785.000đ
652d7b308eb746ea4a0c5b6e,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-rainnyday.jpg,Áo Khoác Chần,Regular ,Trơn,RAINNY DAY,XL,Polyester,785.000đ
652d7b308eb746ea4a0c5b6f,Áo Thun Nam Tay Ngắn Vải Nổi Trơn Phối Nhãn Form Loose,Anhaonam/thuntayngan-black.jpg,Áo Thun Tay Ngắn,Loose,Trơn,BLACK,XS,Cotton,294.000đ
652d7b308eb746ea4a0c5b70,Áo Thun Nam Tay Ngắn Vải Nổi Trơn Phối Nhãn Form Loose,Anhaonam/thuntayngan-black.jpg,Áo Thun Tay Ngắn,Loose,Trơn,BLACK,S,Cotton,294.000đ
652d7b308eb746ea4a0c5b71,Áo Thun Nam Tay Ngắn Vải Nổi Trơn Phối Nhãn Form Loose,Anhaonam/thuntayngan-black.jpg,Áo Thun Tay Ngắn,Loose,Trơn,BLACK,M,Cotton,294.000đ
652d7b308eb746ea4a0c5b72,Áo Thun Nam Tay Ngắn Vải Nổi Trơn Phối Nhãn Form Loose,Anhaonam/thuntayngan-black.jpg,Áo Thun Tay Ngắn,Loose,Trơn,BLACK,L,Cotton,294.000đ
652d7b308eb746ea4a0c5b73,Áo Thun Nam Tay Ngắn Vải Nổi Trơn Phối Nhãn Form Loose,Anhaonam/thuntayngan-black.jpg,Áo Thun Tay Ngắn,Loose,Trơn,BLACK,XL,Cotton,294.000đ
652d7b308eb746ea4a0c5b74,Áo Thun Nam Tay Ngắn Vải Nổi Trơn Phối Nhãn Form Loose,Anhaonam/thuntayngan-whitealyssum.jpg,Áo Thun Tay Ngắn,Loose,Trơn,WHITE ALYSSUM,XS,Cotton,294.000đ
652d7b308eb746ea4a0c5b75,Áo Thun Nam Tay Ngắn Vải Nổi Trơn Phối Nhãn Form Loose,Anhaonam/thuntayngan-whitealyssum.jpg,Áo Thun Tay Ngắn,Loose,Trơn,WHITE ALYSSUM,S,Cotton,294.000đ
652d7b308eb746ea4a0c5b76,Áo Thun Nam Tay Ngắn Vải Nổi Trơn Phối Nhãn Form Loose,Anhaonam/thuntayngan-whitealyssum.jpg,Áo Thun Tay Ngắn,Loose,Trơn,WHITE ALYSSUM,M,Cotton,294.000đ
652d7b308eb746ea4a0c5b77,Áo Thun Nam Tay Ngắn Vải Nổi Trơn Phối Nhãn Form Loose,Anhaonam/thuntayngan-whitealyssum.jpg,Áo Thun Tay Ngắn,Loose,Trơn,WHITE ALYSSUM,L,Cotton,294.000đ
652d7b308eb746ea4a0c5b78,Áo Thun Nam Tay Ngắn Vải Nổi Trơn Phối Nhãn Form Loose,Anhaonam/thuntayngan-whitealyssum.jpg,Áo Thun Tay Ngắn,Loose,Trơn,WHITE ALYSSUM,XL,Cotton,294.000đ
